Date,Profit/Losses,,,Change,,Total," 22,564,198.00 ",, \ ,,,,,,
10-Jan," 1,088,983.00 ",,,,,Average Chg,"-8,311.11 ",,,,,,,,
10-Feb,-354534,,,"-1,443,517 ",,Great Inc. Profits," 1,862,002.00 ",,,,,,,,
10-Mar,276622,,," 631,156 ",,Great Dec. Profits,"-1,825,558.00 ",,,,,,,,average_change = 0
10-Apr,-728133,,,"-1,004,755 ",,Max Value," 1,862,002 ",,,,,,,,great_increase = 0
10-May,852993,,," 1,581,126 ",,,,,,,,,,,great_decrease = 0
10-Jun,563721,,,"-289,272 ",,,,,,,,,,,
10-Jul,-535208,,,"-1,098,929 ",,,,,,,,,,,
10-Aug,632349,,," 1,167,557 ",,,,,,,,,,,
10-Sep,-173744,,,"-806,093 ",,,,,,,,,,,
10-Oct,950741,,," 1,124,485 ",,,,,,,,,,,
10-Nov,-785750,,,"-1,736,491 ",,,,,,,,,,,
10-Dec,-1194133,,,"-408,383 ",,,,,,,,,,,
11-Jan,-589576,,," 604,557 ",,,,,,,,,,,
11-Feb,-883921,,,"-294,345 ",,,,,,,,,,,
11-Mar,443564,,," 1,327,485 ",,,,,,,,,,,
11-Apr,837887,,," 394,323 ",,,,,,,,,,,
11-May,1081472,,," 243,585 ",,,,,,,,,,,
11-Jun,464033,,,"-617,439 ",,,,,,,,,,,
11-Jul,-1066544,,,"-1,530,577 ",,,,,,,,,,,
11-Aug,323846,,," 1,390,390 ",,,,,,,,,,,
11-Sep,-806551,,,"-1,130,397 ",,,,,,,,,,,
11-Oct,487053,,," 1,293,604 ",,,,,,,,,,,
11-Nov,1128811,,," 641,758 ",,,,,,,,,,,
11-Dec,791398,,,"-337,413 ",,,,,,,,,,,
12-Jan,739367,,,"-52,031 ",,,,,,,,,,,
12-Feb,-197825,,,"-937,192 ",,,,,,,,,,,
12-Mar,666016,,," 863,841 ",,,,,,,,,,,
12-Apr,589771,,,"-76,245 ",,,,,,,,,,,
12-May,489290,,,"-100,481 ",,,,,,,,,,,
12-Jun,-471439,,,"-960,729 ",,,,,,,,,,,
12-Jul,120417,,," 591,856 ",,,,,,,,,,,
12-Aug,175347,,," 54,930 ",,,,,,,,,,,
12-Sep,855449,,," 680,102 ",,,,,,,,,,,
12-Oct,605195,,,"-250,254 ",,,,,,,,,,,
12-Nov,-235220,,,"-840,415 ",,,,,,,,,,,
12-Dec,347138,,," 582,358 ",,,,,,,,,,,
13-Jan,298510,,,"-48,628 ",,,,,,,,,,,
13-Feb,163254,,,"-135,256 ",,,,,,,,,,,
13-Mar,1141840,,," 978,586 ",,,,,,,,,,,
13-Apr,542630,,,"-599,210 ",,,,,,,,,,,
13-May,99841,,,"-442,789 ",,,,,,,,,,,
13-Jun,752765,,," 652,924 ",,,,,,,,,,,
13-Jul,-252949,,,"-1,005,714 ",,,,,,,,,,,
13-Aug,914424,,," 1,167,373 ",,,,,,,,,,,
13-Sep,679524,,,"-234,900 ",,,,,,,,,,,
13-Oct,514377,,,"-165,147 ",,,,,,,,,,,
13-Nov,462102,,,"-52,275 ",,,,,,,,,,,
13-Dec,159782,,,"-302,320 ",,,,,,,,,,,
14-Jan,878810,,," 719,028 ",,,,,,,,,,,
14-Feb,-946748,,,"-1,825,558 ",,,,,,,,,,,
14-Mar,340335,,," 1,287,083 ",,,,,,,,,,,
14-Apr,292032,,,"-48,303 ",,,,,,,,,,,
14-May,502266,,," 210,234 ",,,,,,,,,,,
14-Jun,265852,,,"-236,414 ",,,,,,,,,,,
14-Jul,851017,,," 585,165 ",,,,,,,,,,,
14-Aug,-549615,,,"-1,400,632 ",,,,,,,,,,,
14-Sep,290162,,," 839,777 ",,,,,,,,,,,
14-Oct,755391,,," 465,229 ",,,,,,,,,,,
14-Nov,1073202,,," 317,811 ",,,,,,,,,,,
14-Dec,313000,,,"-760,202 ",,,,,,,,,,,
15-Jan,241132,,,"-71,868 ",,,,,,,,,,,
15-Feb,1036589,,," 795,457 ",,,,,,,,,,,
15-Mar,853904,,,"-182,685 ",,,,,,,,,,,
15-Apr,-388932,,,"-1,242,836 ",,,,,,,,,,,
15-May,982952,,," 1,371,884 ",,,,,,,,,,,
15-Jun,537759,,,"-445,193 ",,,,,,,,,,,
15-Jul,547784,,," 10,025 ",,,,,,,,,,,
15-Aug,-496214,,,"-1,043,998 ",,,,,,,,,,,
15-Sep,854181,,," 1,350,395 ",,,,,,,,,,,
15-Oct,934719,,," 80,538 ",,,,,,,,,,,
15-Nov,-288531,,,"-1,223,250 ",,,,,,,,,,,
15-Dec,-184383,,," 104,148 ",,,,,,,,,,,
16-Jan,659541,,," 843,924 ",,,,,,,,,,,
16-Feb,-1149123,,,"-1,808,664 ",,,,,,,,,,,
16-Mar,355882,,," 1,505,005 ",,,,,,,,,,,
16-Apr,662284,,," 306,402 ",,,,,,,,,,,
16-May,518681,,,"-143,603 ",,,,,,,,,,,
16-Jun,-748256,,,"-1,266,937 ",,,,,,,,,,,
16-Jul,-910775,,,"-162,519 ",,,,,,,,,,,
16-Aug,951227,,," 1,862,002 ",,,,,,,,,,,
16-Sep,898241,,,"-52,986 ",,,,,,,,,,,
16-Oct,-729004,,,"-1,627,245 ",,,,,,,,,,,
16-Nov,-112209,,," 616,795 ",,,,,,,,,,,
16-Dec,516313,,," 628,522 ",,,,,,,,,,,
17-Jan,607208,,," 90,895 ",,,,,,,,,,,
17-Feb,382539,,,"-224,669 ",no,,,,,,,,,,
,,,,"-382,539 ",,,,,,,,,,,
